x,y,G_Cost,H_Cost,fCost,GridX,GridY,,,,
-35.25,19.75,20,800,820,71,33,,,,
-35.5,20,40,780,820,70,34,,,,Base Pathfinder A* with ManhattanDistance
-35.75,20.25,60,760,820,69,35,,,,No penalty function added
-36,20.5,80,740,820,68,36,,,,
-36.25,20.75,100,720,820,67,37,,,,
-36.5,21,120,700,820,66,38,,,,
-36.75,21.25,140,680,820,65,39,,,,
-37,21.5,160,660,820,64,40,,,,
-37.25,21.75,180,640,820,63,41,,,,
-37.5,22,200,620,820,62,42,,,,
-37.75,22.25,220,600,820,61,43,,,,
-38,22.5,240,580,820,60,44,,,,
-38.25,22.75,260,560,820,59,45,,,,
-38.5,23,280,540,820,58,46,,,,
-38.75,23.25,300,520,820,57,47,,,,
-39,23.5,320,500,820,56,48,,,,
-39.25,23.75,340,480,820,55,49,,,,
-39.5,24,360,460,820,54,50,,,,
-39.75,24.25,380,440,820,53,51,,,,
-40,24.5,400,420,820,52,52,,,,
-40.25,24.75,420,400,820,51,53,,,,
-40.5,25,440,380,820,50,54,,,,
-40.75,25.25,460,360,820,49,55,,,,
-41,25.5,480,340,820,48,56,,,,
-41.25,25.75,500,320,820,47,57,,,,
-41.5,26,520,300,820,46,58,,,,
-41.75,26.25,540,280,820,45,59,,,,
-42,26.5,560,260,820,44,60,,,,
-42.25,26.75,580,240,820,43,61,,,,
-42.5,27,600,220,820,42,62,,,,
-42.75,27.25,620,200,820,41,63,,,,
-43,27.5,640,180,820,40,64,,,,
-43.25,27.75,660,160,820,39,65,,,,
-43.5,28,680,140,820,38,66,,,,
-43.75,28.25,700,120,820,37,67,,,,
-43.75,28.5,710,110,820,37,68,,,,
-43.75,28.75,720,100,820,37,69,,,,
-43.75,29,730,90,820,37,70,,,,
-43.75,29.25,740,80,820,37,71,,,,
-43.75,29.5,750,70,820,37,72,,,,
-43.75,29.75,760,60,820,37,73,,,,
-43.75,30,770,50,820,37,74,,,,
-43.75,30.25,780,40,820,37,75,,,,
-43.75,30.5,790,30,820,37,76,,,,
-43.75,30.75,800,20,820,37,77,,,,
-43.75,31,810,10,820,37,78,,,,
-43.75,31.25,820,0,820,37,79,,,,
