x,y,G_Cost,H_Cost,P_Cost,fCost,GridX,GridY
-35,19.75,10,650,0,660,72,33
-35,20,20,640,0,660,72,34
-35,20.25,30,630,0,660,72,35
-35,20.5,40,620,0,660,72,36
-35,20.75,50,610,0,660,72,37
-35,21,60,600,0,660,72,38
-35,21.25,70,590,0,660,72,39
-35,21.5,80,580,0,660,72,40
-35,21.75,90,570,0,660,72,41
-35,22,100,560,0,660,72,42
-35,22.25,110,550,0,660,72,43
-35,22.5,120,540,0,660,72,44
-35,22.75,130,530,0,660,72,45
-35,23,140,520,0,660,72,46
-35,23.25,150,510,0,660,72,47
-35,23.5,160,500,0,660,72,48
-35,23.75,170,490,0,660,72,49
-35,24,180,480,0,660,72,50
-35,24.25,190,470,0,660,72,51
-35,24.5,200,460,0,660,72,52
-35,24.75,210,450,0,660,72,53
-35,25,220,440,0,660,72,54
-35,25.25,230,430,0,660,72,55
-35,25.5,240,420,0,660,72,56
-35,25.75,250,410,0,660,72,57
-35,26,260,400,0,660,72,58
-35,26.25,270,390,0,660,72,59
-35,26.5,280,380,0,660,72,60
-35,26.75,290,370,0,660,72,61
-35,27,300,360,0,660,72,62
-35,27.25,310,350,0,660,72,63
-35,27.5,320,340,0,660,72,64
-35,27.75,330,330,0,660,72,65
-35,28,340,320,0,660,72,66
-35,28.25,350,310,0,660,72,67
-35,28.5,360,300,0,660,72,68
-35,28.75,370,290,0,660,72,69
-35,29,380,280,0,660,72,70
-35,29.25,390,270,0,660,72,71
-35,29.5,400,260,0,660,72,72
-35,29.75,410,250,0,660,72,73
-35,30,420,240,0,660,72,74
-35,30.25,430,230,0,660,72,75
-35,30.5,440,220,0,660,72,76
-35,30.75,450,210,0,660,72,77
-35,31,460,200,0,660,72,78
-35.25,31.25,492,180,12,684,71,79
-35.5,31.25,502,170,0,672,70,79
-35.75,31.25,512,160,0,672,69,79
-36,31.25,522,150,0,672,68,79
-36.25,31.25,532,140,0,672,67,79
-36.5,31.25,542,130,0,672,66,79
-36.75,31.25,552,120,0,672,65,79
-37,31.25,562,110,0,672,64,79
-37.25,31.25,572,100,0,672,63,79
-37.5,31.25,582,90,0,672,62,79
-37.75,31.25,592,80,0,672,61,79
-38,31.25,602,70,0,672,60,79
-38.25,31.25,612,60,0,672,59,79
-38.5,31.25,622,50,0,672,58,79
-38.75,31.25,632,40,0,672,57,79
-39,31.25,642,30,0,672,56,79
-39.25,31.25,652,20,0,672,55,79
-39.5,31.25,662,10,0,672,54,79
-39.75,31.25,672,0,0,672,53,79
