x,y,G_Cost,H_Cost,P_Cost,fCost,GridX,GridY,,,,
-35.25,19.75,20,640,10000000,10000660,71,33,,,,
-35.5,20,40,620,10000000,10000660,70,34,,,,
-35.75,20.25,60,600,10000000,10000660,69,35,,,,
-36,20.5,80,580,10000000,10000660,68,36,,,,Resulted from changing next node conditional to compare <= fcost then fcost == in next statement
-36.25,20.75,100,560,10000000,10000660,67,37,,,,
-36.5,21,120,540,10000000,10000660,66,38,,,,
-36.75,21.25,140,520,10000000,10000660,65,39,,,,
-37,21.5,160,500,10000000,10000660,64,40,,,,
-37.25,21.75,180,480,10000000,10000660,63,41,,,,
-37.5,22,200,460,10000000,10000660,62,42,,,,
-37.75,22.25,220,440,10000000,10000660,61,43,,,,
-38,22.5,240,420,10000000,10000660,60,44,,,,
-38.25,22.75,260,400,10000000,10000660,59,45,,,,
-38.5,23,280,380,10000000,10000660,58,46,,,,
-38.75,23.25,300,360,10000000,10000660,57,47,,,,
-39,23.5,320,340,10000000,10000660,56,48,,,,
-39.25,23.75,340,320,10000000,10000660,55,49,,,,
-39.5,24,360,300,10000000,10000660,54,50,,,,
-39.75,24.25,380,280,10000000,10000660,53,51,,,,
-39.75,24.5,390,270,0,660,53,52,,,,
-39.75,24.75,400,260,0,660,53,53,,,,
-39.75,25,410,250,0,660,53,54,,,,
-39.75,25.25,420,240,0,660,53,55,,,,
-39.75,25.5,430,230,0,660,53,56,,,,
-39.75,25.75,440,220,0,660,53,57,,,,
-39.75,26,450,210,0,660,53,58,,,,
-39.75,26.25,460,200,0,660,53,59,,,,
-39.75,26.5,470,190,0,660,53,60,,,,
-39.75,26.75,480,180,0,660,53,61,,,,
-39.75,27,490,170,0,660,53,62,,,,
-39.75,27.25,500,160,0,660,53,63,,,,
-39.75,27.5,510,150,0,660,53,64,,,,
-39.75,27.75,520,140,0,660,53,65,,,,
-39.75,28,530,130,0,660,53,66,,,,
-39.75,28.25,540,120,0,660,53,67,,,,
-39.75,28.5,550,110,0,660,53,68,,,,
-39.75,28.75,560,100,0,660,53,69,,,,
-39.75,29,570,90,0,660,53,70,,,,
-39.75,29.25,580,80,0,660,53,71,,,,
-39.75,29.5,590,70,0,660,53,72,,,,
-39.75,29.75,600,60,0,660,53,73,,,,
-39.75,30,610,50,0,660,53,74,,,,
-39.75,30.25,620,40,0,660,53,75,,,,
-39.75,30.5,630,30,0,660,53,76,,,,
-39.75,30.75,640,20,0,660,53,77,,,,
-39.75,31,650,10,0,660,53,78,,,,
-39.75,31.25,660,0,0,660,53,79,,,,
