x,y,G_Cost,H_Cost,P_Cost,fCost,GridX,GridY,,,
-35,19.75,10,650,0,660,72,33,,,After removing 45deg neighbors on GetNeighbor method
-35,20,20,640,0,660,72,34,,,
-35,20.25,30,630,0,660,72,35,,,
-35,20.5,40,620,0,660,72,36,,,
-35,20.75,50,610,0,660,72,37,,,
-35,21,60,600,0,660,72,38,,,
-35,21.25,70,590,0,660,72,39,,,
-35,21.5,80,580,0,660,72,40,,,
-35,21.75,90,570,0,660,72,41,,,
-35,22,100,560,0,660,72,42,,,
-35,22.25,110,550,0,660,72,43,,,
-35,22.5,120,540,0,660,72,44,,,
-35,22.75,130,530,0,660,72,45,,,
-35,23,140,520,0,660,72,46,,,
-35,23.25,150,510,0,660,72,47,,,
-35,23.5,160,500,0,660,72,48,,,
-35,23.75,170,490,0,660,72,49,,,
-35,24,180,480,0,660,72,50,,,
-35,24.25,190,470,0,660,72,51,,,
-35,24.5,200,460,0,660,72,52,,,
-35,24.75,210,450,0,660,72,53,,,
-35,25,220,440,0,660,72,54,,,
-35,25.25,230,430,0,660,72,55,,,
-35,25.5,240,420,0,660,72,56,,,
-35,25.75,250,410,0,660,72,57,,,
-35,26,260,400,0,660,72,58,,,
-35,26.25,270,390,0,660,72,59,,,
-35,26.5,280,380,0,660,72,60,,,
-35,26.75,290,370,0,660,72,61,,,
-35,27,300,360,0,660,72,62,,,
-35,27.25,310,350,0,660,72,63,,,
-35,27.5,320,340,0,660,72,64,,,
-35,27.75,330,330,0,660,72,65,,,
-35,28,340,320,0,660,72,66,,,
-35,28.25,350,310,0,660,72,67,,,
-35,28.5,360,300,0,660,72,68,,,
-35,28.75,370,290,0,660,72,69,,,
-35,29,380,280,0,660,72,70,,,
-35,29.25,390,270,0,660,72,71,,,
-35,29.5,400,260,0,660,72,72,,,
-35,29.75,410,250,0,660,72,73,,,
-35,30,420,240,0,660,72,74,,,
-35,30.25,430,230,0,660,72,75,,,
-35,30.5,440,220,0,660,72,76,,,
-35,30.75,450,210,0,660,72,77,,,
-35,31,460,200,0,660,72,78,,,
-35.25,31,470,190,20,680,71,78,,,
-35.5,31,480,180,0,660,70,78,,,
-35.75,31,490,170,0,660,69,78,,,
-36,31,500,160,0,660,68,78,,,
-36.25,31,510,150,0,660,67,78,,,
-36.5,31,520,140,0,660,66,78,,,
-36.75,31,530,130,0,660,65,78,,,
-37,31,540,120,0,660,64,78,,,
-37.25,31,550,110,0,660,63,78,,,
-37.5,31,560,100,0,660,62,78,,,
-37.75,31,570,90,0,660,61,78,,,
-38,31,580,80,0,660,60,78,,,
-38.25,31,590,70,0,660,59,78,,,
-38.5,31,600,60,0,660,58,78,,,
-38.75,31,610,50,0,660,57,78,,,
-39,31,620,40,0,660,56,78,,,
-39.25,31,630,30,0,660,55,78,,,
-39.5,31,640,20,0,660,54,78,,,
-39.75,31,650,10,0,660,53,78,,,
-39.75,31.25,660,0,20,680,53,79,,,
